onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	query_onset
2.0339629	1.5	7	131.jpg	n/a	n/a	n/a	1	1	n/a
5.2608266	1.5	5	132.jpg	n/a	n/a	n/a	1	1	n/a
8.2402738	1.5	8	110.jpg	n/a	n/a	n/a	1	0	n/a
10.534148	1.5	6	137.jpg	n/a	n/a	n/a	1	0	n/a
12.497802	1.5	3	114.jpg	n/a	n/a	n/a	1	1	n/a
15.524611	1.5	1	128.jpg	n/a	n/a	n/a	1	1	n/a
17.97835	1.5	9	135.jpg	n/a	n/a	n/a	0	1	n/a
20.538917	1.5	15	107.jpg	n/a	n/a	n/a	0	1	n/a
22.545965	1.5	16	121.jpg	n/a	n/a	n/a	0	0	n/a
25.217482	1.5	5	132.jpg	-1	n/a	n/a	1	1	n/a
35.447557	1.5	12	106.jpg	n/a	n/a	n/a	0	0	n/a
38.649776	1.5	7	131.jpg	n/a	n/a	n/a	1	1	n/a
41.23935	1.5	1	128.jpg	n/a	n/a	n/a	1	1	n/a
43.943504	1.5	16	121.jpg	1	0.77752886	0	0	0	46.443504
50.706659	1.5	8	110.jpg	n/a	n/a	n/a	1	0	n/a
53.839844	1.5	6	137.jpg	n/a	n/a	n/a	1	0	n/a
56.754097	1.5	15	107.jpg	n/a	n/a	n/a	0	1	n/a
58.630198	1.5	9	135.jpg	n/a	n/a	n/a	0	1	n/a
60.685608	1.5	2	117.jpg	n/a	n/a	n/a	1	0	n/a
63.213564	1.5	4	119.jpg	n/a	n/a	n/a	1	0	n/a
65.019881	1.5	10	129.jpg	n/a	n/a	n/a	0	0	n/a
68.088139	1.5	12	106.jpg	n/a	n/a	n/a	0	0	n/a
70.003817	1.5	13	109.jpg	n/a	n/a	n/a	0	1	n/a
72.659924	1.5	9	135.jpg	n/a	n/a	n/a	0	1	n/a
75.90015	1.5	10	129.jpg	n/a	n/a	n/a	0	0	n/a
77.840426	1.5	16	121.jpg	n/a	n/a	n/a	0	0	n/a
79.623475	1.5	11	108.jpg	n/a	n/a	n/a	0	1	n/a
81.756859	1.5	13	109.jpg	n/a	n/a	n/a	0	1	n/a
84.810234	1.5	12	106.jpg	n/a	n/a	n/a	0	0	n/a
86.689793	1.5	6	137.jpg	2	0.96650471	1	1	0	89.189793
93.290426	1.5	14	126.jpg	n/a	n/a	n/a	0	0	n/a
95.673692	1.5	5	132.jpg	n/a	n/a	n/a	1	1	n/a
98.007213	1.5	3	114.jpg	n/a	n/a	n/a	1	1	n/a
100.36044	1.5	2	117.jpg	n/a	n/a	n/a	1	0	n/a
102.35047	1.5	8	110.jpg	n/a	n/a	n/a	1	0	n/a
104.81354	1.5	1	128.jpg	n/a	n/a	n/a	1	1	n/a
107.4306	1.5	3	114.jpg	n/a	n/a	n/a	1	1	n/a
109.66491	1.5	11	108.jpg	n/a	n/a	n/a	0	1	n/a
111.62123	1.5	13	109.jpg	n/a	n/a	n/a	0	1	n/a
113.48782	1.5	4	119.jpg	n/a	n/a	n/a	1	0	n/a
115.71511	1.5	6	137.jpg	n/a	n/a	n/a	1	0	n/a
118.28228	1.5	11	108.jpg	1	0.68426667	1	0	1	120.78228
124.53346	1.5	1	128.jpg	n/a	n/a	n/a	1	1	n/a
127.65992	1.5	3	114.jpg	n/a	n/a	n/a	1	1	n/a
129.47395	1.5	6	137.jpg	n/a	n/a	n/a	1	0	n/a
131.47098	1.5	8	110.jpg	2	0.98144041	1	1	0	133.97098
138.26454	1.5	2	117.jpg	n/a	n/a	n/a	1	0	n/a
141.14399	1.5	12	106.jpg	n/a	n/a	n/a	0	0	n/a
144.35763	1.5	10	129.jpg	n/a	n/a	n/a	0	0	n/a
147.55794	1.5	9	135.jpg	n/a	n/a	n/a	0	1	n/a
150.23064	1.5	11	108.jpg	n/a	n/a	n/a	0	1	n/a
153.12435	1.5	16	121.jpg	n/a	n/a	n/a	0	0	n/a
155.83732	1.5	10	129.jpg	n/a	n/a	n/a	0	0	n/a
158.96401	1.5	7	131.jpg	n/a	n/a	n/a	1	1	n/a
161.35863	1.5	3	114.jpg	1	0.5203593	1	1	1	163.85863
167.40599	1.5	5	132.jpg	n/a	n/a	n/a	1	1	n/a
169.69088	1.5	2	117.jpg	n/a	n/a	n/a	1	0	n/a
172.17434	1.5	6	137.jpg	n/a	n/a	n/a	1	0	n/a
174.72753	1.5	14	126.jpg	n/a	n/a	n/a	0	0	n/a
177.8075	1.5	12	106.jpg	n/a	n/a	n/a	0	0	n/a
179.61078	1.5	11	108.jpg	n/a	n/a	n/a	0	1	n/a
181.6309	1.5	15	107.jpg	n/a	n/a	n/a	0	1	n/a
