onset	duration	stim	stim_file	response	response_time	correct	spaced	stimvalue	feedback	reward
2.0339005	2	9	116.jpg	1	0.92366418	1	0	1	1	0.26
8.7610504	2	14	106.jpg	2	0.80617912	1	0	0	0	0
19.579361	2	1	115.jpg	1	0.85286759	1	1	1	1	0.2
25.263617	2	16	124.jpg	2	0.87039349	1	0	0	0	0.05
34.0486	2	3	121.jpg	2	0.90626615	0	1	1	1	0
41.799507	2	11	132.jpg	1	0.65320006	1	0	1	1	0.24
47.500507	2	10	114.jpg	2	0.96632478	1	0	0	-1	-0.23
53.195649	2	7	110.jpg	1	0.58393919	1	1	2	2	0.5
61.970413	2	8	117.jpg	2	1.070005	1	1	0	0	0.04
69.712436	2	15	107.jpg	1	0.64840959	1	0	2	2	0.4
75.405328	2	4	119.jpg	2	0.79894837	1	1	0	-1	-0.28
86.229163	2	2	111.jpg	2	0.80746073	1	1	0	0	-0.05
96.030544	2	13	134.jpg	1	0.85254083	1	0	2	2	0.42
104.81257	2	9	116.jpg	1	0.61987228	1	0	1	0	-0.08
110.51339	2	14	106.jpg	2	0.72434294	1	0	0	0	-0.01
116.21259	2	5	127.jpg	1	0.53604289	1	1	2	2	0.41
121.89648	2	12	126.jpg	2	0.83533085	1	0	0	0	-0.02
129.6309	2	16	124.jpg	2	0.86352129	1	0	0	-1	-0.25
137.38071	2	6	108.jpg	2	0.75142211	1	1	0	0	-0.05
146.16702	2	13	134.jpg	1	1.0226547	1	0	2	2	0.48
152.8996	2	14	106.jpg	2	0.74440741	1	0	0	0	0
163.73653	2	9	116.jpg	1	0.57848153	1	0	1	1	0.26
172.51297	2	5	127.jpg	1	0.59888319	1	1	2	0	-0.09
179.239	2	6	108.jpg	2	0.82078041	1	1	0	0	-0.01
185.963	2	10	114.jpg	2	0.79537435	1	0	0	0	0.04
194.7462	2	3	121.jpg	2	0.79881976	0	1	1	1	-0.09
202.49635	2	8	117.jpg	2	0.63850145	1	1	0	0	-0.02
209.22965	2	12	126.jpg	2	0.9847205	1	0	0	0	0.05
216.97965	2	7	110.jpg	1	0.61254995	1	1	2	2	0.42
223.69646	2	4	119.jpg	2	0.82879474	1	1	0	0	0.03
231.43122	2	11	132.jpg	1	0.79266966	1	0	1	1	0.28
241.23291	2	2	111.jpg	2	0.88384909	1	1	0	-1	-0.29
250.01745	2	15	107.jpg	1	0.61184078	1	0	2	2	0.42
259.82006	2	1	115.jpg	1	0.93939733	1	1	1	1	0.28
265.51763	2	12	126.jpg	2	0.69942267	1	0	0	0	0.02
271.21308	2	8	117.jpg	2	0.73005534	1	1	0	0	0.01
277.9379	2	2	111.jpg	2	0.69558992	1	1	0	0	0.04
286.71375	2	11	132.jpg	1	0.7628255	1	0	1	1	0.2
296.51367	2	10	114.jpg	2	0.8296331	1	0	0	0	-0.02
305.29694	2	7	110.jpg	1	0.68094199	1	1	2	2	0.45
312.03026	2	1	115.jpg	1	1.1553506	1	1	1	1	0.28
317.73048	2	15	107.jpg	1	0.6065811	1	0	2	2	0.49
327.53033	2	3	121.jpg	2	0.87298426	0	1	1	1	0
335.26364	2	4	119.jpg	2	0.84175073	1	1	0	0	0.02
341.98253	2	16	124.jpg	2	0.85649847	1	0	0	0	-0.01
349.73494	2	5	127.jpg	1	0.98072796	1	1	2	2	0.48
356.46853	2	6	108.jpg	2	0.8765547	1	1	0	0	-0.01
363.20334	2	14	106.jpg	2	0.72365787	1	0	0	0	0.01
374.02865	2	13	134.jpg	1	1.1347621	1	0	2	2	0.5
380.75579	2	9	116.jpg	1	0.73509029	1	0	1	1	0.27
